,# Disease ID,Disease Name,Gene ID
0,C0036095,Salivary Gland Neoplasms,VCAN
1,C0036095,Salivary Gland Neoplasms,DAPK1
2,C0036095,Salivary Gland Neoplasms,JAG1
3,C0036095,Salivary Gland Neoplasms,MARK2
4,C0036095,Salivary Gland Neoplasms,EN1
5,C0036095,Salivary Gland Neoplasms,FANCA
6,C0036095,Salivary Gland Neoplasms,FAT1
7,C0036095,Salivary Gland Neoplasms,MLC1
8,C0036095,Salivary Gland Neoplasms,RBFOX2
10,C0036095,Salivary Gland Neoplasms,ASPM
11,C0036095,Salivary Gland Neoplasms,GAS2
12,C0036095,Salivary Gland Neoplasms,GAS6
13,C0036095,Salivary Gland Neoplasms,PCSK1N
14,C0036095,Salivary Gland Neoplasms,GUCY1A1
15,C0036095,Salivary Gland Neoplasms,IGFBP2
16,C0036095,Salivary Gland Neoplasms,AQP1
17,C0036095,Salivary Gland Neoplasms,ITGB4
18,C0036095,Salivary Gland Neoplasms,KRT5
19,C0036095,Salivary Gland Neoplasms,KRT15
20,C0036095,Salivary Gland Neoplasms,MARCKS
21,C0036095,Salivary Gland Neoplasms,IRX4
22,C0036095,Salivary Gland Neoplasms,ISYNA1
23,C0036095,Salivary Gland Neoplasms,DTL
24,C0036095,Salivary Gland Neoplasms,GINS2
25,C0036095,Salivary Gland Neoplasms,PDZK1
26,C0036095,Salivary Gland Neoplasms,SERPINF1
27,C0036095,Salivary Gland Neoplasms,BCL11A
29,C0036095,Salivary Gland Neoplasms,MIER2
30,C0036095,Salivary Gland Neoplasms,PRKD1
31,C0036095,Salivary Gland Neoplasms,SLC24A3
32,C0036095,Salivary Gland Neoplasms,PYGB
33,C0036095,Salivary Gland Neoplasms,CCND1
34,C0036095,Salivary Gland Neoplasms,ST3GAL4
35,C0036095,Salivary Gland Neoplasms,SON
36,C0036095,Salivary Gland Neoplasms,SOX4
37,C0036095,Salivary Gland Neoplasms,SOX11
38,C0036095,Salivary Gland Neoplasms,TOP2A
39,C0036095,Salivary Gland Neoplasms,EFHD1
40,C0036095,Salivary Gland Neoplasms,WNT5B
41,C0036095,Salivary Gland Neoplasms,NETO2
42,C0036095,Salivary Gland Neoplasms,HOMER3
43,C0036095,Salivary Gland Neoplasms,ESPL1
44,C0036095,Salivary Gland Neoplasms,CDH1
45,C0033941,"Psychoses, Substance-Induced",ADORA2A
46,C0033941,"Psychoses, Substance-Induced",ACE
47,C0033941,"Psychoses, Substance-Induced",AKT1
